 156 0, 1098230, 1549863, 1226813, -38225, 338, -114, -10
 157 0, 1098105, 1549639, 1226790, -38350, 114, -137, -11
 158 0, 1094168, 1549455, 1226725, -42287, -70, -202, -12
 159 0, 1105271, 1556914, 1231178, -31184, 7389, 4251, -6
 160 0, 1273544, 1674161, 1256197, 137089, 124636, 29270, 65
 161 0, 1692681, 2185594, 1484290, 556226, 636069, 257363, 321
 162 0, 2117998, 3423229, 1995303, 981543, 1873704, 768376, 761
 163 0, 2266269, 3479847, 2358186, 1129814, 1930322, 1131259, 901
 164 0, 2284869, 3475654, 2471493, 1148414, 1926129, 1244566, 934
 165 0, 2284757, 3474910, 2487633, 1148302, 1925385, 1260706, 938
 166 0, 2284240, 3474761, 2488755, 1147785, 1925236, 1261828, 938
 167 0, 2284249, 3474602, 2489596, 1147794, 1925077, 1262669, 938
 168 0, 2284098, 3474492, 2490332, 1147643, 1924967, 1263405, 938
 169 0, 2283566, 3474505, 2490305, 1147111, 1924980, 1263378, 938
 170 0, 2282684, 3474566, 2490069, 1146229, 1925041, 1263142, 937
 171 0, 2281555, 3475122, 2488997, 1145100, 1925597, 1262070, 937
 172 0, 2281293, 3475497, 2487335, 1144838, 1925972, 1260408, 937
 173 0, 2282949, 3468710, 2485724, 1146494, 1919185, 1258797, 936
 174 0, 2284209, 3430261, 2484069, 1147754, 1880736, 1257142, 930
 175 0, 2284212, 3455067, 2484120, 1147757, 1905542, 1257193, 933
 176 0, 2284220, 3474158, 2485605, 1147765, 1924633, 1258678, 937
 177 0, 2284214, 3474194, 2485963, 1147759, 1924669, 1259036, 937
 178 0, 2284168, 3474184, 2485922, 1147713, 1924659, 1258995, 937
 179 0, 2284217, 3474274, 2485904, 1147762, 1924749, 1258977, 937
 180 0, 2284158, 3474228, 2485857, 1147703, 1924703, 1258930, 937
 181 0, 2284151, 3474253, 2485866, 1147696, 1924728, 1258939, 937
 182 0, 2284119, 3474229, 2485724, 1147664, 1924704, 1258797, 937
 183 0, 2284144, 3474238, 2485659, 1147689, 1924713, 1258732, 937
 184 0, 2284096, 3474233, 2485697, 1147641, 1924708, 1258770, 937
 185 0, 2284026, 3474210, 2485594, 1147571, 1924685, 1258667, 937
 186 0, 2284037, 3474306, 2485628, 1147582, 1924781, 1258701, 937
 187 0, 2284054, 3474262, 2485552, 1147599, 1924737, 1258625, 937
 188 0, 2284105, 3474298, 2485569, 1147650, 1924773, 1258642, 937
 189 0, 2284083, 3474270, 2485459, 1147628, 1924745, 1258532, 937
 190 0, 2284122, 3474285, 2485476, 1147667, 1924760, 1258549, 937
 191 0, 2284110, 3474320, 2485492, 1147655, 1924795, 1258565, 937
 192 0, 2284071, 3474260, 2485417, 1147616, 1924735, 1258490, 937
 193 0, 2284001, 3474308, 2485388, 1147546, 1924783, 1258461, 937
 194 0, 2283986, 3474342, 2485355, 1147531, 1924817, 1258428, 937
 195 0, 2283872, 3474096, 2485514, 1147417, 1924571, 1258587, 937
 196 0, 2283862, 3474231, 2485654, 1147407, 1924706, 1258727, 937
 197 0, 2283964, 3474158, 2485812, 1147509, 1924633, 1258885, 937
 198 0, 2284264, 3474158, 2486093, 1147809, 1924633, 1259166, 937
 199 0, 2284860, 3474206, 2486493, 1148405, 1924681, 1259566, 937
 200 0, 2285003, 3474364, 2486255, 1148548, 1924839, 1259328, 937
 201 0, 2285090, 3474256, 2485576, 1148635, 1924731, 1258649, 937
 202 0, 2285402, 3474313, 2485416, 1148947, 1924788, 1258489, 937
 203 0, 2285064, 3470228, 2485213, 1148609, 1920703, 1258286, 936
 204 0, 2288251, 3401553, 2484465, 1151796, 1852028, 1257538, 926
 205 0, 2292871, 3085239, 2476869, 1156416, 1535714, 1249942, 877
 206 0, 1983174, 2381310, 2288553, 846719, 831785, 1061626, 632
 207 0, 1267375, 1715331, 1608638, 130920, 165806, 381711, 156
 208 0, 1106302, 1547199, 1240951, -30153, -2326, 14024, -5
 209 0, 1129938, 1552538, 1222913, -6517, 3013, -4014, -2
 210 0, 1130401, 1553099, 1223262, -6054, 3574, -3665, -2
 211 0, 1130386, 1553232, 1223368, -6069, 3707, -3559, -2
 212 0, 1129777, 1553282, 1223374, -6678, 3757, -3553, -2
 213 0, 1129282, 1553368, 1223515, -7173, 3843, -3412, -2
 214 0, 1129035, 1553330, 1223321, -7420, 3805, -3606, -2
 215 0, 1128372, 1553372, 1223274, -8083, 3847, -3653, -2
 216 0, 1127333, 1553489, 1223342, -9122, 3964, -3585, -2
 217 0, 1126507, 1553480, 1223163, -9948, 3955, -3764, -3
 218 0, 1127334, 1555986, 1223340, -9121, 6461, -3587, -2
 219 0, 1144015, 1595430, 1238339, 7560, 45905, 11412, 12
 220 0, 1145572, 1647487, 1278083, 9117, 97962, 51156, 30
 221 0, 1151422, 1719771, 1328719, 14967, 170246, 101792, 55
 222 0, 1136860, 1716284, 1343234, 405, 166759, 116307, 54
 223 0, 1060775, 1700588, 1333422, -75680, 151063, 106495, 27
 224 0, 1076433, 1747823, 1397346, -60022, 198298, 170419, 55
 225 0, 1603429, 1995765, 1801891, 466974, 446240, 574964, 344
 226 0, 2042156, 2486292, 2338465, 905701, 936767, 1111538, 678
 227 0, 2235798, 3051839, 2540945, 1099343, 1502314, 1314018, 871
 228 0, 2301509, 3414937, 2567494, 1165054, 1865412, 1340567, 953
 229 0, 2310487, 3473237, 2567056, 1174032, 1923712, 1340129, 964
 230 0, 2313644, 3474322, 2566467, 1177189, 1924797, 1339540, 965
 231 0, 2314328, 3474689, 2566017, 1177873, 1925164, 1339090, 965
 232 0, 2314233, 3474566, 2565862, 1177778, 1925041, 1338935, 965
 233 0, 2314157, 3474723, 2565776, 1177702, 1925198, 1338849, 965
 234 0, 2314142, 3474700, 2565767, 1177687, 1925175, 1338840, 965
 235 0, 2313989, 3474709, 2565545, 1177534, 1925184, 1338618, 965
 236 0, 2313966, 3474638, 2565576, 1177511, 1925113, 1338649, 965
 237 0, 2313995, 3474638, 2565497, 1177540, 1925113, 1338570, 965
 238 0, 2313923, 3474721, 2565412, 1177468, 1925196, 1338485, 965
 239 0, 2313893, 3474608, 2565354, 1177438, 1925083, 1338427, 965
 240 0, 2313802, 3474606, 2565286, 1177347, 1925081, 1338359, 965
 241 0, 2313803, 3474646, 2565302, 1177348, 1925121, 1338375, 965
 242 0, 2313772, 3474619, 2565208, 1177317, 1925094, 1338281, 965
 243 0, 2313764, 3474535, 2565252, 1177309, 1925010, 1338325, 965
 244 0, 2313711, 3474503, 2565261, 1177256, 1924978, 1338334, 965
 245 0, 2313786, 3474665, 2565286, 1177331, 1925140, 1338359, 965
 246 0, 2313716, 3474645, 2565071, 1177261, 1925120, 1338144, 965
 247 0, 2313701, 3474641, 2565171, 1177246, 1925116, 1338244, 965
 248 0, 2313739, 3474704, 2565070, 1177284, 1925179, 1338143, 965
 249 0, 2313606, 3474596, 2565067, 1177151, 1925071, 1338140, 965
 250 0, 2313548, 3474764, 2565034, 1177093, 1925239, 1338107, 965
 251 0, 2313553, 3474550, 2565015, 1177098, 1925025, 1338088, 965
