2019-01-23-09-23-23, 180, 1526782, 2125248, 1637776
2019-01-23-09-23-26, 200, 1525055, 2198307, 1617774
2019-01-23-09-23-28, 220, 1538970, 2132916, 1793707
2019-01-23-09-23-30, 240, 1591392, 2187979, 1732196
2019-01-23-09-23-32, 260, 1502656, 2155521, 1721440
2019-01-23-09-23-34, 280, 1518948, 2214676, 1737578
2019-01-23-09-23-36, 300, 1572106, 2150635, 1740981
2019-01-23-09-23-38, 320, 1449340, 2160471, 1672797
2019-01-23-09-23-40, 340, 1619016, 2350057, 1690365
2019-01-23-09-23-42, 360, 1498563, 2117943, 1627434
2019-01-23-09-23-44, 380, 1628995, 2327670, 1734438
2019-01-23-09-25-30, 400, 764408, 1533027, 831395
2019-01-23-09-37-01, 0, 1564823, 2297987, 1677909
2019-01-23-09-37-10, 20, 1494338, 2237151, 1594208
2019-01-23-09-37-19, 40, 1501941, 2229322, 1647303
2019-01-23-09-37-26, 60, 1515225, 2248463, 1612490
2019-01-23-09-37-32, 80, 1531364, 2192569, 1765278
2019-01-23-09-45-59, 100, 1566854, 2235619, 1734197
2019-01-23-09-46-02, 120, 1589516, 2376549, 1607294
2019-01-23-09-46-04, 140, 1628416, 2405009, 1650984
2019-01-23-09-46-06, 160, 1498969, 2269230, 1591518
2019-01-23-09-46-26, 180, 1611182, 2363905, 1613517
2019-01-23-09-46-40, 200, 1606220, 2388452, 1690683
2019-01-23-09-46-54, 220, 1605495, 2386418, 1688081
2019-01-23-09-47-04, 240, 1605119, 2384860, 1688404
2019-01-23-09-53-59, 260, 1455265, 2083690, 1534412
2019-01-23-09-54-02, 280, 1449429, 2285434, 1517417
2019-01-23-09-54-05, 300, 1433226, 2065951, 1551869
2019-01-23-09-54-08, 320, 1433538, 2160747, 1551417
2019-01-23-09-54-11, 340, 1434927, 2127206, 1598002
2019-01-23-09-54-13, 360, 1626194, 2343942, 1659390
2019-01-23-09-54-16, 380, 1462482, 2202191, 1583653
2019-01-23-09-54-19, 400, 1460000, 2102886, 1593111
2019-01-23-09-54-22, 420, 1562904, 2299333, 1614175
2019-01-23-09-54-25, 440, 1510204, 2183030, 1569697
2019-01-23-09-54-27, 460, 815146, 1545983, 925937
2019-01-23-10-00-45, 0, 1541888, 2434200, 1619192
2019-01-23-10-00-49, 20, 1488817, 2344570, 1650294
2019-01-23-10-00-57, 40, 1509751, 2363454, 1596432
2019-01-23-10-01-03, 60, 1490576, 2325417, 1694654
2019-01-23-10-01-15, 80, 1492162, 2360008, 1579742
2019-01-23-10-18-16, 100, 1587030, 2343865, 1654631
2019-01-23-10-18-24, 120, 2331985, 3053059, 1499124
2019-01-23-10-18-30, 140, 2368422, 2856619, 1520595
2019-01-23-10-18-33, 160, 2812097, 2615019, 1516161
2019-01-23-10-18-36, 180, 2657218, 2511525, 1612235
2019-01-23-10-18-39, 200, 2378359, 2209979, 1747521
2019-01-23-10-18-42, 220, 2116713, 2079108, 1979247
2019-01-23-10-18-44, 240, 2383301, 2037957, 2269404
2019-01-23-10-18-51, 260, 1976725, 2041251, 2326021
2019-01-23-10-18-55, 280, 1760999, 2120699, 2448303
2019-01-23-10-18-57, 300, 1682366, 2321237, 2754656
2019-01-23-10-19-00, 320, 1468532, 2542748, 2751998
2019-01-23-10-19-03, 340, 1461860, 2642881, 2579731
2019-01-23-10-19-05, 360, 1448070, 2808157, 2479647
2019-01-23-10-19-09, 380, 1472258, 2901091, 2255006
2019-01-23-10-19-12, 400, 1508558, 3113125, 1964876
2019-01-23-10-19-16, 420, 1607178, 3091429, 1700770
2019-01-23-10-19-23, 440, 2060318, 3177184, 1475096
2019-01-23-10-19-27, 460, 1702196, 2787671, 1579142
2019-01-23-10-39-45, 0, 1490130, 2161742, 1551386
2019-01-23-10-40-05, 20, 1456470, 2124605, 1537525
2019-01-23-10-40-13, 40, 1457979, 2153226, 1622286
2019-01-23-10-40-21, 60, 1460870, 2247559, 1549267
2019-01-23-10-40-29, 80, 1467560, 2120105, 1547480
2019-01-23-10-40-35, 100, 1467069, 2198899, 1557388
2019-01-23-10-40-43, 120, 1467944, 2146562, 1555008
2019-01-23-10-40-51, 140, 1538113, 2288669, 1674851
2019-01-23-10-40-59, 160, 1467251, 2292349, 1483877
2019-01-23-10-41-05, 180, 1483698, 2351555, 1528222
2019-01-23-10-41-11, 200, 1486852, 2392029, 1566194
2019-01-23-10-41-19, 220, 1499822, 2208260, 1701153
2019-01-23-10-41-27, 240, 1064466, 2022789, 1126705
2019-01-23-10-41-33, 260, 825338, 1591455, 877701
2019-01-23-10-41-37, 280, 799107, 1495542, 841997
2019-01-23-10-44-58, 0, 1407433, 2242696, 1453239
2019-01-23-10-45-10, 20, 1426044, 2304719, 1479005
