 w1,w2,w3
 2822371, 1654196, 2117821
 2821776, 1653091, 2118097
 2821635, 1654287, 2117839
 2822022, 1654581, 2117494
 2821698, 1654028, 2117830
 2822052, 1654558, 2117691
 2821699, 1654011, 2117863
 2822431, 1653843, 2117771
 2821967, 1654280, 2117835
 2821564, 1653934, 2117807
 2822330, 1655065, 2117806
 2822216, 1654001, 2117959
 2822405, 1653504, 2117858
 2821662, 1654881, 2118655
 2821876, 1654588, 2117706
 2821991, 1653788, 2117700
 2821471, 1654188, 2117924
 2821732, 1654379, 2117789
 2822155, 1654659, 2117884
 2822051, 1653845, 2117898
 2822390, 1654122, 2118180
 2822018, 1654692, 2117849
 2822092, 1654079, 2117626
 2822240, 1654923, 2117703
 2822388, 1654077, 2117661
 2822425, 1654156, 2117734
 2822359, 1653972, 2117778
 2822254, 1654236, 2117916
 2822480, 1655190, 2117706
 2821562, 1653679, 2117629
 2821741, 1654221, 2117991
 2821942, 1653888, 2117882
 2821722, 1654475, 2117764
 2821816, 1653512, 2118073
 2821795, 1654188, 2117791
 2821723, 1654129, 2117710
 2821970, 1654267, 2117834
 2822462, 1654547, 2117889
 2822345, 1653846, 2117985
 2822283, 1654404, 2117929
 2822155, 1654384, 2117784
 2822291, 1654139, 2117905
 2822184, 1654116, 2118011
 2821859, 1654493, 2117842
 2822213, 1654777, 2117692
 2821985, 1654388, 2117831
 2822124, 1654543, 2117746
 2822104, 1654016, 2117712
 2822467, 1654754, 2117675
 2821823, 1654782, 2117721
 2822035, 1654064, 2118057
 2821703, 1654555, 2117948
 2822067, 1654215, 2117929
 2822327, 1653780, 2117691
 2822605, 1653833, 2117793
 2822461, 1654705, 2117942
 2821948, 1654360, 2117905
 2821842, 1654586, 2117511
 2822354, 1654585, 2117733
 2821801, 1654280, 2117784
 2822826, 1654141, 2117787
 2821632, 1655673, 2117981
 2822221, 1655031, 2117809
 2821342, 1655173, 2118055
 2821736, 1654649, 2117778
 2822436, 1654536, 2117810
 2821788, 1654469, 2117922
 2821922, 1655086, 2117902
 2822291, 1654288, 2117754
 2822358, 1654620, 2117905
 2822283, 1654713, 2117709
 2821884, 1654504, 2117949
 2822240, 1654456, 2118028
 2822250, 1654599, 2117914
 2822118, 1653614, 2118029
 2822482, 1654997, 2118135
 2822374, 1654551, 2117982
 2822524, 1654594, 2117921
 2822552, 1654366, 2117830
 2822538, 1654131, 2117817
 2822421, 1654304, 2117765
 2821808, 1654761, 2118058
 2822143, 1654575, 2117821
 2821856, 1654278, 2117910
 2822322, 1654055, 2117932
 2883583, 1655593, 2118064
 2822335, 1654994, 2117945
 2821856, 1654493, 2118013
 2822768, 1654049, 2117918
 2822066, 1653983, 2117864
 2822300, 1654372, 2118024
 2822574, 1654405, 2118158
 2822403, 1654893, 2118144
 2821933, 1654244, 2117997
 2822647, 1654257, 2117892
 2821974, 1655186, 2118091
 2822325, 1653958, 2117911
 2822394, 1653936, 2117852
 2822095, 1654592, 2118024
 2822281, 1654584, 2117902
 2821799, 1654532, 2118027
 2822188, 1654394, 2117804
 2822718, 1655403, 2118048
 2822527, 1654545, 2117981
 2822423, 1655474, 2118049
 2822401, 1654452, 2118051
 2821983, 1653998, 2118156
 2822384, 1654394, 2118128
 2822608, 1654378, 2117960
 2822892, 1653970, 2117996
 2822250, 1654458, 2117911
 2821759, 1654642, 2118145
 2822541, 1655700, 2118011
 2822037, 1654969, 2118101
 2822768, 1654091, 2118199
 2821728, 1654663, 2117929
 2822809, 1654097, 2118162
 2822054, 1654685, 2118003
 2821721, 1654504, 2117940
 2822164, 1654325, 2117987
 2821825, 1654805, 2118097
 2822134, 1654973, 2118162
 2822421, 1654861, 2118245
 2822385, 1654999, 2118110
 2822570, 1654325, 2117937
 2822297, 1654416, 2118163
 2822236, 1654794, 2118038
 2822549, 1654147, 2117995
 2822888, 1655007, 2118067
 2822223, 1654062, 2118101
 2821867, 1654736, 2117911
 2822049, 1654082, 2117991
 2822100, 1654418, 2118043
 2821934, 1654126, 2118059
 2821823, 1654441, 2118109
 2822248, 1654802, 2118141
 2822382, 1655170, 2118120
 2822920, 1655180, 2118291
 2821952, 1655179, 2118193
 2822789, 1654442, 2117902
 2822678, 1654637, 2117963
 2822664, 1654533, 2118094
 2822345, 1654943, 2117976
 2822841, 1655106, 2118050
 2822238, 1654002, 2117822
 2822219, 1654337, 2118072
 2821917, 1654573, 2118222
 2822320, 1655017, 2117903
 2822001, 1654309, 2117834
 2822439, 1655096, 2117957
 2822031, 1655110, 2117898
 2822281, 1654732, 2118030
 2822446, 1653897, 2118062
 2822782, 1655039, 2117954
 2822162, 1654825, 2118231
 2822509, 1654507, 2117837
 2822297, 1654478, 2118039
 2821783, 1654627, 2117820
 2821883, 1654129, 2118201
 2822317, 1654427, 2117861
 2822120, 1654786, 2117819
 2822271, 1654944, 2117880
 2822158, 1654500, 2118058
 2821846, 1654937, 2118119
 2822241, 1654389, 2117773
 2821812, 1654700, 2117861
 2821929, 1654484, 2117794
 2821990, 1654453, 2118033
 2822302, 1654309, 2117750
 2822470, 1654410, 2117958
 2822257, 1654091, 2117913
 2822247, 1654621, 2118231
 2821675, 1654489, 2117853
 2822464, 1654230, 2117995
 2822210, 1655699, 2118189
 2822185, 1655132, 2118215
 2822298, 1654934, 2118082
 2822390, 1654395, 2117878
 2822112, 1654664, 2118042
 2822307, 1654497, 2117900
 2822611, 1654395, 2118044
 2821796, 1654322, 2118000
 2821813, 1655057, 2117895
 2822118, 1654327, 2117966
 2821965, 1653890, 2118141
 2822319, 1654191, 2118020
 2822610, 1654777, 2118060
 2822079, 1655165, 2118186
 2822651, 1654141, 2118147
 2822476, 1655148, 2117783
 2822209, 1654729, 2118168
 2822047, 1655288, 2117950
 2822312, 1654552, 2117972
 2822490, 1653854, 2117900
 2822871, 1654357, 2117938
 2822125, 1654613, 2117961
 2822187, 1655498, 2117913
 2821948, 1654374, 2117927
 2822230, 1654229, 2118076
 2822289, 1655020, 2117993
 2821994, 1655499, 2117850
 2821759, 1655469, 2118136
 2822327, 1655460, 2118000
 2821723, 1654428, 2118287
 2822345, 1654411, 2117780
 2822300, 1653844, 2117995
 2821988, 1655067, 2118135
 2822004, 1654425, 2118052
 2822295, 1655126, 2117881
 2822030, 1654570, 2118127
 2822307, 1654818, 2118098
 2822200, 1654946, 2118148
 2822277, 1654982, 2117967
 2822350, 1655088, 2117941
 2822758, 1654133, 2118133
 2821860, 1654761, 2117999
 2821965, 1654833, 2117899
 2822249, 1654515, 2117784
 2822088, 1655062, 2118068
 2822081, 1654719, 2117899
 2822119, 1654772, 2117834
 2822583, 1654772, 2117885
 2822485, 1655601, 2117912
 2822489, 1655323, 2118045
 2822012, 1654963, 2118113
 2822066, 1654595, 2118100
 2822515, 1655130, 2118175
 2822470, 1654675, 2117752
 2822161, 1655047, 2118089
 2821866, 1654979, 2117996
 2823024, 1654263, 2117835
 2821997, 1654726, 2117855
 2822531, 1655260, 2117987
 2822755, 1654778, 2118045
 2822799, 1655297, 2117958
 2822578, 1654826, 2117899
 2822182, 1654183, 2117571
 2822721, 1654513, 2118208
 2822177, 1654919, 2118017
 2822753, 1654617, 2117818
 2822059, 1654269, 2118047
 2822068, 1655347, 2117853
 2822028, 1654808, 2117876
 2821921, 1654996, 2117934
 2822199, 1655307, 2117831
 2822330, 1655399, 2117962
 2822589, 1654563, 2118011
 2822022, 1654298, 2118152
 2822226, 1654145, 2118154
 2822703, 1654458, 2117844
 2822614, 1654100, 2117798
 2822737, 1655067, 2118012
 2821873, 1654444, 2117998
 2822414, 1654507, 2117931
 2822439, 1654842, 2118066
 2822022, 1655236, 2118136
 2821921, 1654400, 2117823
 2822490, 1654995, 2118096
 2821885, 1654439, 2118075
 2821946, 1654733, 2118077
 2822309, 1654208, 2118155
 2822153, 1654588, 2117977
 2821918, 1654989, 2118250
 2822517, 1654998, 2118092
 2822230, 1654391, 2118057
 2821437, 1654284, 2117896
 2822047, 1654964, 2118053
 2822594, 1654992, 2118001
 2821825, 1654404, 2118110
 2822015, 1654958, 2118036
 2821856, 1654871, 2117963
 2822324, 1655045, 2117860
 2822834, 1654569, 2118112
 2822932, 1654847, 2117845
 2822111, 1654840, 2118060
 2822273, 1654555, 2117843
 2821974, 1654763, 2117948
 2822236, 1655108, 2117711
 2822377, 1654517, 2118059
 2821871, 1654662, 2118034
 2821859, 1654754, 2117749
 2822240, 1655223, 2117818
 2822267, 1655227, 2117802
 2822495, 1654229, 2117963
 2822774, 1653876, 2117922
 2822395, 1654453, 2118141
 2821761, 1655068, 2117912
 2822742, 1654483, 2118186
 2822386, 1654858, 2117920
 2822278, 1654478, 2118002
 2822688, 1654853, 2117890
 2822532, 1654462, 2117908
 2822173, 1654042, 2117907
 2822516, 1655128, 2117961
 2822310, 1654597, 2118020
 2822318, 1654854, 2117955
 2822193, 1655207, 2117926
 2821620, 1654920, 2117970
 2822602, 1654811, 2117939
 2821797, 1654533, 2117768
 2821963, 1654965, 2117842
 2821913, 1655329, 2117840
 2822041, 1655310, 2117941
 2822125, 1654782, 2117881
 2822128, 1654731, 2117960
 2822778, 1654708, 2118108
 2822141, 1654536, 2117831
 2822201, 1654612, 2117834
 2822636, 1654162, 2117754
 2822796, 1655150, 2117801
 2822020, 1654109, 2117873
 2822011, 1654715, 2117970
 2821906, 1654763, 2117915
 2821706, 1654882, 2117876
 2822292, 1654776, 2118118
 2822292, 1654993, 2117646
 2822310, 1655055, 2118330
 2822192, 1654554, 2118100
 2822416, 1655137, 2117779
 2821942, 1654632, 2117852
 2822572, 1654922, 2118026
 2822109, 1655108, 2117855
 2821692, 1655689, 2117948
 2822144, 1654774, 2118013
 2821888, 1655599, 2118112
 2822276, 1654693, 2118020
 2822031, 1654834, 2117833
 2821934, 1654850, 2118041
 2822431, 1654655, 2117629
 2822491, 1654788, 2117920
 2822639, 1655067, 2117749
 2822403, 1655488, 2118023
 2822511, 1654918, 2117910
 2822298, 1654013, 2117873
 2822122, 1655408, 2118053
 2822443, 1654346, 2117952
 2822540, 1654660, 2118113
 2823133, 1654992, 2117825
 2822251, 1654818, 2117779
 2822212, 1654811, 2118153
 2822179, 1654975, 2118106
 2822099, 1655114, 2117730
 2821712, 1654955, 2117948
 2822081, 1654976, 2117900
 2822616, 1654846, 2117976
 2822406, 1655367, 2117716
 2822281, 1654376, 2118003
 2822164, 1654086, 2118033
 2821730, 1655062, 2117915
 2822340, 1654762, 2117867
 2822404, 1655283, 2118117
 2821736, 1655096, 2117957
 2822409, 1654588, 2117706
 2821298, 1654650, 2118043
 2821919, 1655092, 2117891
 2822806, 1653990, 2117850
 2821812, 1654647, 2118246
 2822817, 1654863, 2118104
 2821735, 1655036, 2118016
 2821980, 1654728, 2118018
 2822129, 1654585, 2117745
 2822102, 1655277, 2117956
 2822715, 1654336, 2118072
 2822427, 1654891, 2117910
 2822498, 1655300, 2118281
 2821769, 1655043, 2118064
 2822497, 1655177, 2117969
 2822288, 1655059, 2118047
 2822311, 1655395, 2118001
 2822309, 1654495, 2117955
 2822313, 1654935, 2117970
 2822276, 1654849, 2117794
 2822138, 1654987, 2118040
 2822294, 1654497, 2117965
 2822765, 1655013, 2117944
 2822306, 1654381, 2117863
 2822361, 1655009, 2118078
 2822388, 1654123, 2118192
 2822539, 1654243, 2117944
 2821942, 1654483, 2117958
 2822011, 1655199, 2117932
 2822021, 1654566, 2117763
 2822548, 1654638, 2117929
 2823143, 1654602, 2117774
 2822462, 1655241, 2117846
 2822525, 1654254, 2118231
 2822314, 1654879, 2117851
 2822511, 1654293, 2117851
 2822402, 1655246, 2117900
 2822204, 1654461, 2118075
 2822248, 1655105, 2118019
 2823072, 1655039, 2117685
 2822668, 1655412, 2117928
 2821909, 1654443, 2117954
 2821983, 1654979, 2117962
 2822469, 1654833, 2117866
 2821802, 1654718, 2118007
 2821933, 1654702, 2118053
 2821983, 1656021, 2117988
 2822015, 1654931, 2117880
 2822398, 1654484, 2118035
 2821713, 1653926, 2118069
 2822369, 1654863, 2118138
 2822420, 1655236, 2117707
 2822469, 1654638, 2118048
 2822016, 1654957, 2117938
 2822589, 1654625, 2117840
